GeneSymbol	OR	p-value	m.value	CustomedDEG	meth.diff
DRGX	2.2616613360567768	0.0	-1.01915588110943	None	10.1955256580648
E2F1	7.7254679523539425	8.701550780918173e-36	-0.623423444876977	None	12.998441620634999
E2F2	6.160097098601318	8.54255709743759e-24	-1.43036523327928	None	-11.080076334969304
E2F3	2.775147928994083	0.0001127240121251972	0.313065750865773	None	10.0519951549187
E2F4	4.679511278195489	3.2166057436926876e-20	-0.63156720313536	None	11.3651254625824
E2F6	8.478444132574593	0.0	0.0811191061241558	None	-10.0185360353898
E2F7	2.619343389529725	0.000977237020566543	0.281438659105438	None	12.3413429933477
E2F8	6.121919292227139	2.8920748586875757e-88	0.0449735289892157	None	9.88240962945509
EBF1	4.662712060127425	2.9693556569021467e-74	-0.991966979590587	None	25.490196078431396
EBF3	4.946495248385727	8.352262743209215e-127	-3.56051134341253	None	14.5649950473213
EGR1	12.554992905225925	1.6927016199430382e-305	1.465760927546	None	13.1651407717732
EGR2	7.391512159252063	7.351548187504237e-176	0.944089858343117	None	3.92581571038483
EGR3	27.332990926211266	6.980241881746959e-95	1.40708991229548	None	7.8512447331926705
EHF	3.4061863237695063	1.7817422707977853e-128	-0.120758927563487	None	17.9272456861882
ELF1	3.657568046881024	1.483494006884422e-125	-0.153803585903654	None	15.0491670305217
ELF2	3.494335869598701	4.165891889344438e-248	0.177638692014904	None	10.5758712780467
ELF3	3.5667454161703738	2.500001467786083e-186	-1.08004512094632	None	9.80142061076058
ELK3	9.690534475724192	6.603549503938253e-133	0.665262942902245	None	17.356359717802402
ELK4	4.365028489001082	3.777351438639009e-290	0.136575497975237	None	9.284314518457698
EMX1	2.244948686662893	0.0	-2.65458022470313	None	10.473314017404599
EMX2	2.279195992708495	0.0	1.66887887918146	None	6.629763109711
EN1	2.2773492749012965	0.0	-2.85484168541345	None	6.84199973357397
EN2	2.28646572485481	0.0	-1.36937175640798	None	8.71481962663777
EOMES	2.6308195886992523	2.9717332365377882e-96	-1.1154445239624	None	9.52237397436234
ERF	3.942142551117348	2.094182909136055e-135	-0.699125900390227	None	14.1865246589818
ESR1	4.857142857142857	1.2132385167723806e-08	-0.0600353235929916	None	20.2329362415127
ESR2	3.6053981195902582	6.745634256819894e-159	-0.292768537230466	None	13.6740076488671
ESRRA	2.8912676595898885	2.449450785183502e-58	0.478556100542745	None	8.581012641789991
ESRRB	2.6301324853022283	3.53615909097532e-47	-0.284396674819159	None	26.3173087352145
ETS1	3.572632162538443	1.227103442367852e-271	-1.28777370945797	CR	22.9215184493035
ETS2	3.672253544713632	0.0	-0.250265743816227	None	18.1754190237935
ETV1	3.3812715019255446	1.5802733697725436e-160	-0.443927603042045	None	26.8305171529665
ETV3	3.3252685208385535	8.6947340877776e-118	-0.164643171464119	None	2.15458950117908
ETV4	5.2559523809523805	5.111918834598564e-247	0.598680026339196	None	5.867878930020031
ETV5	5.6517119572775565	2.438463644314618e-114	0.265181030728714	None	-18.353608344532002
ETV6	3.9136635366265375	2.238887e-317	0.326135181903817	None	19.0521978021978
ETV7	3.552791897426294	0.0	-0.125585944229843	None	4.349331799165141
EVX1	2.30436655347318	0.0	-2.23842785898499	None	9.62310140392333
EVX2	2.332598733161485	0.0	-1.09440179346414	None	7.853172433161241
FEV	4.896191817589923	3.2166752654685775e-94	-0.923112380479491	None	11.845672527223801
FIGLA	3.502996211831742	0.0	-0.248605356920245	None	13.435139730668002
FLI1	3.6360725618684895	2.7681598361974423e-283	0.481139140557273	None	26.400240700229894
FOS	2.537251432138027	8.219523378181437e-191	-0.459975217414677	None	9.008654352891881
FOSL1	2.5836777269454694	7.746603852873148e-100	1.07292941740384	None	9.225196255197721
FOSL2	3.0758476958589207	3.098324855039247e-255	-0.884460738405915	None	16.806098926155
FOXA1	2.4101438457307207	5.292952866551793e-235	1.30207480393713	None	6.59703307441028
FOXA2	2.3588417318427046	0.0	-1.82084983098827	None	4.78557439427006
FOXA3	2.4974887508889623	9.96503787e-316	-0.245492897884108	None	7.72625347194015
FOXB1	2.3247032576722835	0.0	3.64261741968374	None	10.5751433380858
FOXC1	2.409266127241005	0.0	-3.41238671080249	CR	16.9263406623437
FOXC2	2.441641336211969	0.0	-2.53391444022295	None	-2.89575289575588
FOXD1	2.724677363058072	3.027323146858672e-219	0.378656621351618	None	7.5143578694889905
FOXD2	2.5283706398931534	0.0	0.589395133836736	None	20.492068516083602
FOXD3	2.4328641935355098	2.281757141808592e-159	2.02438149120541	None	12.5525469064283
FOXE1	2.5848618875577416	0.0	6.15167699428429	None	15.5164918670245
FOXF2	2.5717093019588053	7.173446495393776e-69	-0.183936649988283	None	14.356191114426
FOXG1	2.4481723374159667	0.0	-0.849301095315293	None	17.871347510208302
FOXH1	2.5096284075490316	1.05266e-319	-0.327314063291732	None	4.83150358384684
FOXI1	2.514946530586027	0.0	0.00210645786839203	None	4.0166721556125
FOXK1	2.711291120374111	2.6566839536443623e-175	-0.0919948027342397	None	15.0901323442942
